id,username,created_at,lng,lat,text
1517265177367961601,esabelleeden,Thu Apr 21 22:13:02 +0000 2022,-97.754724,30.323345500000002,Alright…showed up to Vegan Nom and it was F I R E 👅 https://t.co/SYcUJjteYK
1517265179599384578,1lovedogrescue,Thu Apr 21 22:13:02 +0000 2022,-121.10179,38.9593,Just posted a photo @ 1 Love Dog Rescue https://t.co/qxfSqyAotr
1517265179792363520,fatliife,Thu Apr 21 22:13:02 +0000 2022,-79.2725695,43.629311,"During these last 10 nights, don't forget to make dua for the @MapleLeafs that they make it past the first round this year."
1517265179960094722,PaulGimson,Thu Apr 21 22:13:02 +0000 2022,-78.74736899999999,42.7677015,@im4eyesonly @BladesEdgeNZ @NianticHelp Yes they do.
1517265181499351040,mike_frank619,Thu Apr 21 22:13:03 +0000 2022,-83.099288,42.3527865,Idc how much I live you. We are NEVER going on a double date with your homegirl
1517265181591625729,VtwinRenegade,Thu Apr 21 22:13:03 +0000 2022,-93.6437085,45.200367,@SputnikInt Obviously. I don't understand why those haven't been targeted from day one. I'd call that military inco… https://t.co/3BowIXZJnZ
1517265180316606465,dom_lamont,Thu Apr 21 22:13:03 +0000 2022,-87.732013,41.8335845,Too weak at ya 😂 @luckyyMarc https://t.co/GVY2iF7y8w
1517265182325501952,Its_MenoZ,Thu Apr 21 22:13:03 +0000 2022,-119.71069449999999,39.574216500000006,@dancarrington11 @JohnTerry26 @JakeD811 Weren’t Wayne and his wife separated?
1517265182636097536,Hutchman3175,Thu Apr 21 22:13:03 +0000 2022,-79.008801,43.101794,"@smarzeli @EthSocrat @AaronParnas ""Censorship bill""??? LOL Really?? So you think teachers should be talking to 5 ye… https://t.co/CxzfOOk7nn"
1517265182178820096,UptownYongeBIA,Thu Apr 21 22:13:03 +0000 2022,-79.2725695,43.629311,Sunny at 6pm ☀️ Must be Spring! https://t.co/8o0N8AINXl
1517265183210717186,RobbySilv,Thu Apr 21 22:13:03 +0000 2022,-83.14660549999999,42.5369135,@magiicrat1967 @RedSox @MikefromOC @Matt_AllAboutU @soxsouthwest Close to that Green Monster!
1517265183336546306,Royal_catt,Thu Apr 21 22:13:03 +0000 2022,-90.4767775,38.4894675,#mcqueenrhac lol I tried https://t.co/MVh36TuOEK
1517265184544407553,ldavelman,Thu Apr 21 22:13:04 +0000 2022,-71.3156586,41.4863434,Drinking a Mexican Lager by Rejects Beer Co. @ Wharf Southern Kitchen &amp; Whiskey Bar — https://t.co/Fv8Y8t5woU
1517265184762572800,falconfiend2,Thu Apr 21 22:13:04 +0000 2022,-98.5406515,29.417501,Just the truth. Truth sets you free. It doesn’t make you offended.
1517265185244958720,Pskennedy666B,Thu Apr 21 22:13:04 +0000 2022,-71.17439200000001,41.635552000000004,@DABADDESTX___ What ever you want
1517265185119080449,MSgirl29,Thu Apr 21 22:13:04 +0000 2022,-89.87644900000001,32.571032,@TEvermore93 @mm__9688 It is possible that this is how he finds out. There is a lot of stuff he doesn’t know about… https://t.co/kx6JXyXjao
1517265184632438784,NWSSevereTstorm,Thu Apr 21 22:13:04 +0000 2022,-93.65234224,37.70301942,"Severe Thunderstorm Warning continues for Humansville MO, Fair Play MO, Dunnegan MO until 5:30 PM CDT https://t.co/Jm5UMS4y5K"
1517265186243162112,faces_ofnicole_,Thu Apr 21 22:13:04 +0000 2022,-75.117998,40.0048655,Biopsy really take that long???
1517265186465406976,yomelz,Thu Apr 21 22:13:04 +0000 2022,-80.3957495,25.535172000000003,I’m really gaining weight instead of losing it🤕😭
1517265186792615942,BonesOfComedy,Thu Apr 21 22:13:04 +0000 2022,-83.1738665,32.6782075,When women say something makes them “gassy” I cringe a lil cuz as a woman why are you passing gas?
1517265187195297793,StMikefootball,Thu Apr 21 22:13:04 +0000 2022,-86.2503435,39.7882845,It was badass out there today
1517265187669110784,SamEatsAss1,Thu Apr 21 22:13:04 +0000 2022,-122.03118649999999,36.979375000000005,Crazy im really the only 1 here
1517265187405017088,YaYa_Babbyyy,Thu Apr 21 22:13:04 +0000 2022,-74.946407,40.102243,YOU SEE THE BEST IN ME🤍 https://t.co/BM3rG4X0rj
1517265188163973120,pops3284,Thu Apr 21 22:13:04 +0000 2022,-115.135165,36.0609645,man look how much she is leaning into his frame @StephenStorey
1517265188059185152,tmj_mem_nursing,Thu Apr 21 22:13:04 +0000 2022,-90.0489801,35.1495343,"We are a team of more than 67,000 people bringing many perspectives to a singular purpose: improving the quality of… https://t.co/QFjVO2zsqC"
1517265189749641217,lkbivona,Thu Apr 21 22:13:05 +0000 2022,-71.44218699999999,41.926114999999996,Dr. Wright will be greatly missed! I have admired her steadfast commitment to improving education for students in M… https://t.co/45rihkKSHh
1517265191888695297,ignatius_jude,Thu Apr 21 22:13:05 +0000 2022,-77.0143985,38.898602999999994,I’ve had a bad day and I feel like shit. Which means I made entirely too much spaghetti……
1517265192022904835,mpelc,Thu Apr 21 22:13:05 +0000 2022,-81.28080800000001,28.2204455,There's something cathartic about hearing about the demise of #CNNPlus via the breaking news app of #CNN
